date,steps,sleep_hours,hydration_liters,heart_rate,focus_score,calories_burned
2025-09-28,10234,7.5,2.3,76,8
2025-09-29,8450,6.9,2.1,79,7
2025-09-30,5402,5.8,1.6,88,6
2025-10-01,11120,7.8,2.5,74,9
2025-10-02,4320,5.4,1.4,92,5
2025-10-03,7210,6.2,2.0,86,7
2025-10-04,9500,7.3,2.4,80,8
2025-10-05,8760,7.0,2.0,78,7
2025-10-06,4000,5.2,1.2,95,4
2025-10-07,6800,6.4,1.7,87,6
2025-10-08,12300,8.0,2.6,72,9
2025-10-09,9100,7.2,2.1,79,8
2025-10-10,3500,5.0,1.0,98,4
2025-10-11,7650,6.7,1.8,84,6
2025-10-12,10450,7.6,2.3,77,8
2025-10-13,8700,6.8,1.9,83,7
2025-10-14,9400,7.1,2.2,80,8
